TITLE,SECTION,SECTIONN,SECTION PN,STATUS,OF1,OF2,OLDFILENAME,NEWFILENAME
How to Use the Manual?,0,0,0,Done,0-How-to-Use-Manual.pdf,000-How-to-Use-the-Manual,001-How-to-Use-the-Manual,000-How-to-Use-the-Manual
Assess: Section Intro,ASSESS,A,1,Done,A01-Introduction.pdf,A01-Assess-Section-Intro,A01-Assess-Section-Intro,A01-Assess-Section-Intro
OODA Loop,ASSESS,A,3,Done,A-OODA-Loop.pdf,A03-OODA-Loop,A05-OODA-Loop,A03-OODA-Loop
Winching Towing Hoisting,ASSESS,A,5,Done,A-Winching-Towing-Hoisting.pdf,A05-Winching-Towing-Hoisting,A07-Winching-Towing-Hoisting,A05-Winching-Towing-Hoisting
Winching 101,ASSESS,A,7,Done,C-Winching-101.pdf,A07-Winching-101,A03-Winching-101,A07-Winching-101
Safe Zones for Personnel,ASSESS,A,9,Done,A10-Safe-Zones-for-Personnel.pdf,A09-Safe-Zones-for-Personnel,A09-Safe-Zones-for-Personnel,A09-Safe-Zones-for-Personnel
Personal Protective gear,ASSESS,A,11,Done,B-Personal-Protective-gear.pdf,A11-Personal-Protective-gear,A11-Personal-Protective-gear,A11-Personal-Protective-gear
Landslide Hazard,ASSESS,A,13,Done,A-Landslide-Hazard.pdf,A13-Landslide-Hazard,A13-Landslide-Hazard,A13-Landslide-Hazard
Lightning Hazard,ASSESS,A,15,Done,A-Lighting-Hazard.pdf,A15-Lightning-Hazard,A15-Lightning-Hazard,A15-Lightning-Hazard
Powerline Hazard,ASSESS,A,17,Done,A-Powerline-Hazard.pdf,A17-Powerline-Hazard,A17-Powerline-Hazard,A17-Powerline-Hazard
Legal Liability,ASSESS,A,19,Done,C-Legal-Liability.pdf,A19-Legal-Liability,A19-Legal-Liability,A19-Legal-Liability
Go No Go Decision,ASSESS,A,99,Done,A-Go-No-Go-Decision.pdf,A99-Go-No-Go-Decision,A99-Go-No-Go-Decision,A99-Go-No-Go-Decision
Baseline: Section Intro,BASELINE,B,1,TBD,,,,B01-Baseline-Section-Intro
Incident Command Structure,BASELINE,B,3,Done,A-Incident-Command-Structure.pdf,B03-Incident-Command-Structure,B03-Incident-Command-Structure,B03-Incident-Command-Structure
Clearance Limits,BASELINE,B,5,Done,A01-Clearance-Limits.pdf,B05-Clearance-Limits,B05-Clearance-Limits,B05-Clearance-Limits
Estimating Weight,BASELINE,B,7,Done,B-Estimating-Weight.pdf,B07-Estimating-Weight,B07-Estimating-Weight,B07-Estimating-Weight
Traction Problems,BASELINE,B,9,Done,A01-Traction-Problems.pdf,B09-Traction-Problems,B09-Traction-Problems,B09-Traction-Problems
Suction Mire Levels,BASELINE,B,11,Done,B08-Suction-Mire-Levels.pdf,B11-Suction-Mire-Levels,B11-Suction-Mire-Levels,B11-Suction-Mire-Levels
Terrain Weight Multipliers,BASELINE,B,13,Done,E4-Terrain-Weight-Multipliers.pdf,B13-Terrain-Weight-Multipliers,B13-Terrain-Weight-Multipliers,B13-Terrain-Weight-Multipliers
Natural Anchor Health,BASELINE,B,15,Done,B-Natural-Anchor-Health.pdf,B15-Natural-Anchor-Health,B15-Natural-Anchor-Health,B15-Natural-Anchor-Health
Anchor Mobile,BASELINE,B,17,Done,B-Anchor-Mobile.pdf,B17-Anchor-Mobile,B17-Anchor-Mobile,B17-Anchor-Mobile
WLL and MBS,BASELINE,B,19,Done,D-WLL-and-MBS.pdf,B19-WLL-and-MBS,B19-WLL-and-MBS,B19-WLL-and-MBS
Incident Briefing Form ICS 201,BASELINE,B,99,Done,D99-Incident-Briefing-Form-ICS-201.pdf,B99-Incident-Briefing-Form-ICS-201,B99-Incident-Briefing-Form-ICS-201,B99-Incident-Briefing-Form-ICS-201
Components: Section Intro,COMPONENT,C,1,Done,C01-Introduction.pdf,C01-Components-Section-Intro,C01-Components-Section-Intro,C01-Components-Section-Intro
Winch Basics,COMPONENT,C,3,Done,C-Winch-Basics.pdf,C03-Winch-Basics,C03-Winch-Basics,C03-Winch-Basics
Winch Exploded View,COMPONENT,C,5,Done,C-Winch-Exploded-View.pdf,C05-Winch-Exploded-View,C05-Winch-Exploded-View,C05-Winch-Exploded-View
Winch Label,COMPONENT,C,7,Done,C-Winch-Label.pdf,C07-Winch-Label,C07-Winch-Label,C07-Winch-Label
Hydraulic vs Electric Winches,COMPONENT,C,9,Done,C-Electric-vs-Hyrdaulic-Winches.pdf,C09-Hydraulic-vs-Electric-Winches,C09-Hydraulic-vs-Electric-Winches,C09-Hydraulic-vs-Electric-Winches
Fairleads,COMPONENT,C,11,Done,C-Fairleads.pdf,C11-Fairleads,C11-Fairleads,C11-Fairleads
Synthetic Rope Primer,COMPONENT,C,13,Done,C-Synthetic-Rope-Primer.pdf,C13-Synthetic-Rope-Primer,C13-Synthetic-Rope-Primer,C13-Synthetic-Rope-Primer
Synthetic Rope Criteria,COMPONENT,C,15,Done,C-Synthetic-Rope-Criteria.pdf,C15-Synthetic-Rope-Criteria,C15-Synthetic-Rope-Criteria,C15-Synthetic-Rope-Criteria
Synthetic Rope Sizing,COMPONENT,C,17,Done,C-Synthetic-Rope-Sizing.pdf,C17-Synthetic-Rope-Sizing,C17-Synthetic-Rope-Sizing,C17-Synthetic-Rope-Sizing
Synthetic Rope Specs,COMPONENT,C,19,Done,C-Synthetic-Rope-Specs.pdf,C19-Synthetic-Rope-Specs,C19-Synthetic-Rope-Specs,C19-Synthetic-Rope-Specs
Steel Wire Rope Primer,COMPONENT,C,21,Done,C50-Steel-Wire-Rope-Primer.pdf,C21-Steel-Wire-Rope-Primer,C21-Steel-Wire-Rope-Primer,C21-Steel-Wire-Rope-Primer
Steel Wire Rope Sizing,COMPONENT,C,23,Done,C50-Steel-Wire-Rope-Sizing.pdf,C23-Steel-Wire-Rope-Sizing,C23-Steel-Wire-Rope-Sizing,C23-Steel-Wire-Rope-Sizing
Steel Wire Rope Specs,COMPONENT,C,25,Done,C50-Steel-Wire-Rope-Specs.pdf,C25-Steel-Wire-Rope-Specs,C25-Steel-Wire-Rope-Specs,C25-Steel-Wire-Rope-Specs
